Datetime,Water Level (m)
2022-11-22 06:00:00,0.08390664
2022-11-22 07:00:00,0.33521134
2022-11-22 08:00:00,0.6640398
2022-11-22 09:00:00,0.7198978
2022-11-22 10:00:00,0.5728182
2022-11-22 11:00:00,0.34755066
2022-11-22 12:00:00,0.1133869
2022-11-22 13:00:00,-0.129809
2022-11-22 14:00:00,-0.32737732
2022-11-22 15:00:00,-0.49327675
2022-11-22 16:00:00,-0.6267046
2022-11-22 17:00:00,-0.5525072
2022-11-22 18:00:00,0.044214614
2022-11-22 19:00:00,0.40204278
2022-11-22 20:00:00,0.8324555
2022-11-22 21:00:00,1.0511605
2022-11-22 22:00:00,1.0286185
2022-11-22 23:00:00,0.7911131
2022-11-23 00:00:00,0.5131385
2022-11-23 01:00:00,0.24593887
2022-11-23 02:00:00,-0.021984175
2022-11-23 03:00:00,-0.2173207
2022-11-23 04:00:00,-0.38566047
2022-11-23 05:00:00,-0.5155354
2022-11-23 06:00:00,-0.29756138
2022-11-23 07:00:00,0.21345378
2022-11-23 08:00:00,0.5236751
2022-11-23 09:00:00,0.8282435
2022-11-23 10:00:00,0.83002037
2022-11-23 11:00:00,0.6310128
2022-11-23 12:00:00,0.37625197
2022-11-23 13:00:00,0.12806138
2022-11-23 14:00:00,-0.10490035
2022-11-23 15:00:00,-0.28927633
2022-11-23 16:00:00,-0.4585013
2022-11-23 17:00:00,-0.57808876
2022-11-23 18:00:00,-0.29452676
2022-11-23 19:00:00,0.24941339
2022-11-23 20:00:00,0.65043324
2022-11-23 21:00:00,1.070756
2022-11-23 22:00:00,1.2028178
2022-11-23 23:00:00,1.093568
2022-11-24 00:00:00,0.7876408
2022-11-24 01:00:00,0.51784074
2022-11-24 02:00:00,0.2317969
2022-11-24 03:00:00,-0.01829034
2022-11-24 04:00:00,-0.20378219
2022-11-24 05:00:00,-0.37296623
2022-11-24 06:00:00,-0.48128527
2022-11-24 07:00:00,-0.06303552
2022-11-24 08:00:00,0.35371965
2022-11-24 09:00:00,0.6704211
2022-11-24 10:00:00,0.8925173
2022-11-24 11:00:00,0.8023957
2022-11-24 12:00:00,0.56414104
2022-11-24 13:00:00,0.3147146
2022-11-24 14:00:00,0.063091494
2022-11-24 15:00:00,-0.14594598
2022-11-24 16:00:00,-0.3251982
2022-11-24 17:00:00,-0.48907098
2022-11-24 18:00:00,-0.5661727
2022-11-24 19:00:00,-0.058654994
2022-11-24 20:00:00,0.40477613
2022-11-24 21:00:00,0.84979945
2022-11-24 22:00:00,1.1989492
2022-11-24 23:00:00,1.252378
2022-11-25 00:00:00,1.0543212
2022-11-25 01:00:00,0.7441308
2022-11-25 02:00:00,0.47383657
2022-11-25 03:00:00,0.18484493
2022-11-25 04:00:00,-0.038799893
2022-11-25 05:00:00,-0.21926299
2022-11-25 06:00:00,-0.38449976
2022-11-25 07:00:00,-0.42482328
2022-11-25 08:00:00,0.12176287
2022-11-25 09:00:00,0.4630819
2022-11-25 10:00:00,0.780988
2022-11-25 11:00:00,0.914271
2022-11-25 12:00:00,0.77191216
2022-11-25 13:00:00,0.5195764
2022-11-25 14:00:00,0.2733512
2022-11-25 15:00:00,0.028188633
2022-11-25 16:00:00,-0.16674294
2022-11-25 17:00:00,-0.3428412
2022-11-25 18:00:00,-0.4925552
2022-11-25 19:00:00,-0.44319442
2022-11-25 20:00:00,0.19107215
2022-11-25 21:00:00,0.6026216
2022-11-25 22:00:00,1.0642543
2022-11-25 23:00:00,1.3150035
2022-11-26 00:00:00,1.2950222
2022-11-26 01:00:00,1.0272621
2022-11-26 02:00:00,0.7327309
2022-11-26 03:00:00,0.45084602
2022-11-26 04:00:00,0.16687022
2022-11-26 05:00:00,-0.040574033
2022-11-26 06:00:00,-0.21886635
2022-11-26 07:00:00,-0.37323382
2022-11-26 08:00:00,-0.28588545
2022-11-26 09:00:00,0.25529677
2022-11-26 10:00:00,0.55837363
2022-11-26 11:00:00,0.8587966
2022-11-26 12:00:00,0.91055787
2022-11-26 13:00:00,0.7357356
2022-11-26 14:00:00,0.48091856
2022-11-26 15:00:00,0.23474434
2022-11-26 16:00:00,-0.0003550917
2022-11-26 17:00:00,-0.18728921
2022-11-26 18:00:00,-0.35765722
2022-11-26 19:00:00,-0.486204
2022-11-26 20:00:00,-0.24386126
2022-11-26 21:00:00,0.32442108
2022-11-26 22:00:00,0.7353854
2022-11-26 23:00:00,1.16514
2022-11-27 00:00:00,1.3333137
2022-11-27 01:00:00,1.2459911
2022-11-27 02:00:00,0.94459146
2022-11-27 03:00:00,0.6686961
2022-11-27 04:00:00,0.38057095
2022-11-27 05:00:00,0.11519146
2022-11-27 06:00:00,-0.074911654
2022-11-27 07:00:00,-0.24925056
2022-11-27 08:00:00,-0.38389263
2022-11-27 09:00:00,-0.18175457
2022-11-27 10:00:00,0.27849132
2022-11-27 11:00:00,0.58069444
2022-11-27 12:00:00,0.8502738
2022-11-27 13:00:00,0.8606683
2022-11-27 14:00:00,0.6744504
2022-11-27 15:00:00,0.42650554
2022-11-27 16:00:00,0.18527818
2022-11-27 17:00:00,-0.0367032
2022-11-27 18:00:00,-0.21574922
2022-11-27 19:00:00,-0.38015306
2022-11-27 20:00:00,-0.47106394
2022-11-27 21:00:00,-0.07485877
2022-11-27 22:00:00,0.37196746
2022-11-27 23:00:00,0.77854353
2022-11-28 00:00:00,1.1460282
2022-11-28 01:00:00,1.2499632
2022-11-28 02:00:00,1.1188346
2022-11-28 03:00:00,0.8229056
2022-11-28 04:00:00,0.563137
2022-11-28 05:00:00,0.2826935
2022-11-28 06:00:00,0.04409792
